Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	30.6560   	1062.2310 	12.6592   	0.0303    	33.0358   
300.0000  	41.4546   	1436.4021 	13.9989   	0.0489    	20.4397   
300.0000  	48.5195   	1681.2006 	14.7528   	0.0696    	14.3603   
300.0000  	40.9800   	1419.9562 	13.9452   	0.0584    	17.1212   
300.0000  	34.5319   	1196.5319 	13.1717   	0.0427    	23.4163   
300.0000  	49.0912   	1701.0102 	14.8105   	0.0767    	13.0399   
300.0000  	42.3642   	1467.9178 	14.1005   	0.0534    	18.7426   
300.0000  	39.8332   	1380.2193 	13.8139   	0.0491    	20.3688   
300.0000  	73.8503   	2558.9119 	16.9701   	0.3596    	2.7810    
300.0000  	36.7236   	1272.4726 	13.4447   	0.0398    	25.1409   
300.0000  	45.5651   	1578.8318 	14.4470   	0.0627    	15.9541   
300.0000  	33.6052   	1164.4215 	13.0528   	0.0385    	25.9666   
300.0000  	29.5240   	1023.0065 	12.5014   	0.0243    	41.1800   
300.0000  	24.6917   	855.5672  	11.7784   	0.0230    	43.5481   
300.0000  	32.7321   	1134.1672 	12.9388   	0.0297    	33.7184   
300.0000  	41.5548   	1439.8736 	14.0101   	0.0596    	16.7730   
300.0000  	40.7603   	1412.3427 	13.9203   	0.0591    	16.9284   
300.0000  	31.6254   	1095.8207 	12.7913   	0.0336    	29.7278   
300.0000  	26.3187   	911.9416  	12.0316   	0.0268    	37.2905   
300.0000  	25.8128   	894.4152  	11.9540   	0.0245    	40.8111   
300.0000  	31.8167   	1102.4481 	12.8170   	0.0361    	27.6762   
300.0000  	19.3965   	672.0876  	10.8678   	0.0199    	50.3191   
300.0000  	44.5896   	1545.0297 	14.3432   	0.0627    	15.9516   
300.0000  	55.8834   	1936.3605 	15.4643   	0.1102    	9.0753    
300.0000  	32.4318   	1123.7611 	12.8991   	0.0552    	18.1151   
300.0000  	48.1983   	1670.0721 	14.7201   	0.0851    	11.7451   
300.0000  	32.5265   	1127.0433 	12.9116   	0.0276    	36.2109   
300.0000  	56.8569   	1970.0915 	15.5535   	0.1617    	6.1831    
300.0000  	61.8510   	2143.1370 	15.9962   	0.1735    	5.7638    
300.0000  	54.8857   	1901.7890 	15.3717   	0.3478    	2.8751    
300.0000  	46.8303   	1622.6706 	14.5795   	0.0868    	11.5147   
300.0000  	25.5505   	885.3254  	11.9134   	0.0246    	40.6426   
300.0000  	26.6734   	924.2319  	12.0854   	0.0225    	44.4423   
300.0000  	26.2153   	908.3609  	12.0158   	0.0240    	41.7319   
300.0000  	26.7191   	925.8152  	12.0923   	0.0293    	34.1103   
300.0000  	21.8882   	758.4271  	11.3146   	0.0197    	50.7711   
300.0000  	55.6476   	1928.1906 	15.4425   	0.0908    	11.0175   
300.0000  	39.4497   	1366.9332 	13.7694   	0.0515    	19.4212   
300.0000  	23.6280   	818.7105  	11.6067   	0.0419    	23.8743   
300.0000  	43.9915   	1524.3056 	14.2788   	0.0757    	13.2132   
300.0000  	43.4063   	1504.0274 	14.2152   	0.0574    	17.4083   
300.0000  	32.4641   	1124.8812 	12.9034   	0.0313    	31.9398   
300.0000  	22.1831   	768.6438  	11.3652   	0.0214    	46.7717   
300.0000  	26.0054   	901.0873  	11.9837   	0.0232    	43.1296   
300.0000  	30.3412   	1051.3240 	12.6157   	0.0287    	34.8107   
300.0000  	35.5413   	1231.5046 	13.2988   	0.0527    	18.9768   
300.0000  	31.1374   	1078.9095 	12.7251   	0.0305    	32.8015   
300.0000  	34.0619   	1180.2434 	13.1117   	0.0384    	26.0619   
300.0000  	60.8211   	2107.4507 	15.9069   	0.2067    	4.8389    
300.0000  	23.9658   	830.4153  	11.6618   	0.0217    	46.1214   
300.0000  	35.4673   	1228.9431 	13.2896   	0.0380    	26.3363   
300.0000  	27.7787   	962.5316  	12.2501   	0.0263    	38.0910   
300.0000  	49.2016   	1704.8340 	14.8216   	0.2209    	4.5266    
300.0000  	42.9679   	1488.8387 	14.1672   	0.0518    	19.3057   
300.0000  	27.2774   	945.1603  	12.1759   	0.0260    	38.4219   
300.0000  	32.3014   	1119.2419 	12.8818   	0.0300    	33.3681   
300.0000  	24.9315   	863.8776  	11.8164   	0.0306    	32.6471   
300.0000  	30.2099   	1046.7723 	12.5975   	0.0325    	30.7926   
300.0000  	30.6091   	1060.6050 	12.6528   	0.0334    	29.9230   
300.0000  	30.9778   	1073.3819 	12.7034   	0.0944    	10.5952   
300.0000  	20.2303   	700.9791  	11.0214   	0.4196    	2.3834    
300.0000  	12.1552   	421.1760  	9.3001    	0.0147    	68.0609   
300.0000  	24.4442   	846.9903  	11.7389   	0.0220    	45.4618   
300.0000  	36.4187   	1261.9082 	13.4074   	0.0392    	25.4937   
300.0000  	52.5285   	1820.1142 	15.1484   	0.2416    	4.1388    
300.0000  	52.5912   	1822.2839 	15.1544   	0.1694    	5.9019    
300.0000  	28.0165   	970.7708  	12.2849   	0.0247    	40.4219   
300.0000  	78.1240   	2706.9958 	17.2914   	0.7403    	1.3509    
300.0000  	28.7620   	996.6021  	12.3929   	0.0209    	47.7449   
300.0000  	49.6136   	1719.1105 	14.8628   	0.0828    	12.0789   
