
Contour in frame 261936 
( 175 , 44 )
( 176 , 45 )
( 176 , 46 )
( 177 , 47 )
( 178 , 48 )
( 179 , 48 )
( 180 , 49 )
( 181 , 50 )
( 182 , 50 )
( 183 , 51 )
( 184 , 52 )
( 185 , 52 )
( 186 , 52 )
( 187 , 53 )
( 188 , 53 )
( 189 , 53 )
( 190 , 53 )
( 191 , 54 )
( 192 , 54 )
( 193 , 54 )
( 194 , 54 )
( 195 , 55 )
( 196 , 55 )
( 197 , 55 )
( 198 , 55 )
( 199 , 55 )
( 200 , 55 )
( 201 , 55 )
( 202 , 55 )
( 203 , 55 )
( 204 , 55 )
( 205 , 56 )
( 206 , 56 )
( 207 , 56 )
( 208 , 56 )
( 209 , 56 )
( 210 , 56 )
( 211 , 56 )
( 212 , 56 )
( 213 , 55 )
( 214 , 55 )
( 215 , 55 )
( 216 , 54 )
( 216 , 53 )
( 217 , 52 )
( 217 , 51 )
( 217 , 50 )
( 218 , 49 )
( 218 , 48 )
( 218 , 47 )
( 219 , 46 )
( 219 , 45 )
( 219 , 44 )
( 219 , 43 )
( 219 , 42 )
( 220 , 41 )
( 220 , 40 )
( 220 , 39 )
( 220 , 38 )
( 220 , 37 )
( 220 , 36 )
( 220 , 35 )
( 220 , 34 )
( 220 , 33 )
( 219 , 32 )
( 219 , 31 )
( 219 , 30 )
( 219 , 29 )
( 219 , 28 )
( 219 , 27 )
( 218 , 26 )
( 218 , 25 )
( 217 , 24 )
( 216 , 24 )
( 215 , 24 )
( 214 , 24 )
( 213 , 24 )
( 212 , 24 )
( 211 , 24 )
( 210 , 24 )
( 209 , 23 )
( 208 , 23 )
( 207 , 23 )
( 206 , 23 )
( 205 , 23 )
( 204 , 23 )
( 203 , 23 )
( 202 , 23 )
( 201 , 23 )

Contour in frame 262276 
( 144 , 24 )
( 143 , 25 )
( 142 , 25 )
( 141 , 25 )
( 140 , 25 )
( 139 , 25 )
( 138 , 25 )
( 137 , 26 )
( 136 , 26 )
( 135 , 26 )
( 134 , 26 )
( 133 , 27 )
( 132 , 27 )
( 131 , 27 )
( 130 , 28 )
( 129 , 28 )
( 128 , 29 )
( 127 , 29 )
( 126 , 29 )
( 125 , 30 )
( 124 , 29 )
( 124 , 30 )
( 124 , 31 )
( 123 , 32 )
( 122 , 33 )
( 121 , 33 )
( 121 , 34 )
( 120 , 35 )
( 120 , 36 )
( 120 , 37 )
( 119 , 38 )
( 118 , 38 )
( 119 , 39 )
( 120 , 40 )
( 120 , 41 )
( 120 , 42 )
( 121 , 43 )
( 121 , 44 )
( 122 , 44 )
( 123 , 45 )
( 123 , 46 )
( 124 , 47 )
( 125 , 47 )
( 126 , 48 )
( 127 , 49 )
( 128 , 49 )
( 129 , 50 )
( 130 , 50 )
( 131 , 50 )
( 132 , 50 )
( 133 , 51 )
( 134 , 51 )
( 135 , 51 )
( 136 , 52 )
( 137 , 52 )
( 138 , 52 )
( 139 , 52 )
( 140 , 52 )
( 141 , 52 )
( 142 , 53 )
( 143 , 53 )
( 144 , 53 )
( 145 , 53 )
( 146 , 53 )
( 147 , 53 )
( 148 , 53 )
( 149 , 53 )
( 150 , 53 )
